"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.10.2019","1,4677","1,4673","1,4725","1,4640","0,04%"
"30.10.2019","1,4671","1,4542","1,4689","1,4525","0,89%"
"29.10.2019","1,4542","1,4491","1,4559","1,4453","0,37%"
"28.10.2019","1,4488","1,4474","1,4511","1,4463","0,15%"
"25.10.2019","1,4467","1,4518","1,4534","1,4463","-0,33%"
"24.10.2019","1,4515","1,4544","1,4594","1,4501","-0,21%"
"23.10.2019","1,4546","1,4566","1,4582","1,4537","-0,14%"
"22.10.2019","1,4566","1,4589","1,4609","1,4557","-0,16%"
"21.10.2019","1,4590","1,4625","1,4671","1,4579","-0,50%"
"18.10.2019","1,4663","1,4614","1,4669","1,4603","0,33%"
"17.10.2019","1,4615","1,4620","1,4666","1,4593","-0,03%"
"16.10.2019","1,4619","1,4565","1,4627","1,4550","0,38%"
"15.10.2019","1,4563","1,4595","1,4614","1,4529","-0,21%"
"14.10.2019","1,4594","1,4574","1,4602","1,4549","0,14%"
"11.10.2019","1,4573","1,4629","1,4688","1,4547","-0,38%"
"10.10.2019","1,4629","1,4628","1,4694","1,4613","0,01%"
"09.10.2019","1,4627","1,4600","1,4646","1,4584","0,18%"
"08.10.2019","1,4600","1,4601","1,4651","1,4575","-0,01%"
"07.10.2019","1,4602","1,4614","1,4642","1,4590","-0,11%"
"04.10.2019","1,4618","1,4621","1,4647","1,4574","-0,05%"
"03.10.2019","1,4625","1,4607","1,4678","1,4571","0,16%"
"02.10.2019","1,4601","1,4450","1,4608","1,4431","1,02%"
"01.10.2019","1,4453","1,4434","1,4496","1,4414","0,14%"
"30.09.2019","1,4433","1,4491","1,4498","1,4418","-0,39%"
"27.09.2019","1,4489","1,4489","1,4526","1,4467","-0,02%"
"26.09.2019","1,4492","1,4516","1,4536","1,4468","-0,19%"
"25.09.2019","1,4519","1,4593","1,4599","1,4498","-0,51%"
"24.09.2019","1,4593","1,4581","1,4608","1,4561","0,09%"
"23.09.2019","1,4580","1,4610","1,4640","1,4562","-0,21%"
"20.09.2019","1,4610","1,4642","1,4687","1,4585","-0,23%"
"19.09.2019","1,4643","1,4658","1,4712","1,4621","-0,08%"
"18.09.2019","1,4654","1,4663","1,4708","1,4634","-0,08%"
"17.09.2019","1,4665","1,4564","1,4686","1,4559","0,69%"
"16.09.2019","1,4564","1,4651","1,4695","1,4554","-1,01%"
"13.09.2019","1,4713","1,4617","1,4721","1,4603","0,67%"
"12.09.2019","1,4615","1,4527","1,4638","1,4431","0,62%"
"11.09.2019","1,4525","1,4523","1,4539","1,4454","0,01%"
"10.09.2019","1,4523","1,4546","1,4570","1,4495","-0,17%"
"09.09.2019","1,4548","1,4531","1,4564","1,4501","0,14%"
"06.09.2019","1,4527","1,4596","1,4607","1,4510","-0,49%"
"05.09.2019","1,4598","1,4591","1,4641","1,4550","0,03%"
"04.09.2019","1,4594","1,4633","1,4696","1,4580","-0,27%"
"03.09.2019","1,4633","1,4618","1,4658","1,4580","0,11%"
"02.09.2019","1,4617","1,4639","1,4662","1,4599","-0,10%"
"30.08.2019","1,4631","1,4690","1,4706","1,4590","-0,40%"
"29.08.2019","1,4690","1,4742","1,4766","1,4686","-0,35%"
"28.08.2019","1,4741","1,4729","1,4769","1,4715","0,07%"
"27.08.2019","1,4730","1,4713","1,4751","1,4681","0,10%"
"26.08.2019","1,4716","1,4803","1,4864","1,4701","-0,59%"
"23.08.2019","1,4804","1,4737","1,4852","1,4714","0,43%"
"22.08.2019","1,4740","1,4732","1,4771","1,4705","0,05%"
"21.08.2019","1,4733","1,4781","1,4799","1,4708","-0,33%"
"20.08.2019","1,4782","1,4763","1,4799","1,4746","0,14%"
"19.08.2019","1,4761","1,4723","1,4784","1,4705","0,29%"
"16.08.2019","1,4719","1,4784","1,4804","1,4708","-0,43%"
"15.08.2019","1,4783","1,4838","1,4874","1,4773","-0,36%"
"14.08.2019","1,4836","1,4771","1,4889","1,4760","0,44%"
"13.08.2019","1,4771","1,4846","1,4917","1,4740","-0,51%"
"12.08.2019","1,4846","1,4820","1,4873","1,4772","0,24%"
"09.08.2019","1,4810","1,4786","1,4869","1,4781","0,16%"
"08.08.2019","1,4786","1,4895","1,4928","1,4783","-0,75%"
"07.08.2019","1,4897","1,4872","1,4999","1,4855","0,16%"
"06.08.2019","1,4873","1,4805","1,4889","1,4756","0,47%"
"05.08.2019","1,4804","1,4673","1,4819","1,4659","0,91%"
"02.08.2019","1,4670","1,4647","1,4717","1,4630","0,16%"
"01.08.2019","1,4646","1,4608","1,4681","1,4576","0,25%"
"31.07.2019","1,4610","1,4667","1,4681","1,4591","-0,39%"
"30.07.2019","1,4667","1,4671","1,4707","1,4655","-0,01%"
"29.07.2019","1,4669","1,4649","1,4678","1,4622","0,13%"
"26.07.2019","1,4650","1,4670","1,4696","1,4644","-0,15%"
"25.07.2019","1,4672","1,4640","1,4710","1,4572","0,20%"
"24.07.2019","1,4642","1,4646","1,4659","1,4613","-0,04%"
"23.07.2019","1,4648","1,4708","1,4720","1,4635","-0,41%"
"22.07.2019","1,4708","1,4659","1,4720","1,4627","0,34%"
"19.07.2019","1,4658","1,4691","1,4715","1,4639","-0,22%"
"18.07.2019","1,4690","1,4647","1,4711","1,4627","0,29%"
