"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.10.2019","120,48","121,37","121,52","120,29","-0,73%"
"30.10.2019","121,36","120,99","121,43","120,87","0,31%"
"29.10.2019","120,99","120,94","121,09","120,58","0,04%"
"28.10.2019","120,94","120,42","121,02","120,41","0,46%"
"25.10.2019","120,39","120,64","120,83","120,36","-0,18%"
"24.10.2019","120,61","120,96","121,39","120,40","-0,31%"
"23.10.2019","120,98","120,69","121,08","120,39","0,24%"
"22.10.2019","120,69","121,09","121,31","120,57","-0,32%"
"21.10.2019","121,08","120,83","121,48","120,77","-0,03%"
"18.10.2019","121,12","120,88","121,17","120,66","0,20%"
"17.10.2019","120,88","120,44","121,38","120,34","0,37%"
"16.10.2019","120,43","120,10","120,50","119,74","0,27%"
"15.10.2019","120,10","119,56","120,25","119,13","0,45%"
"14.10.2019","119,56","119,73","119,76","119,19","-0,13%"
"11.10.2019","119,71","118,85","120,04","118,72","0,73%"
"10.10.2019","118,84","117,91","118,98","117,58","0,79%"
"09.10.2019","117,91","117,32","118,12","117,21","0,50%"
"08.10.2019","117,32","117,72","118,00","117,13","-0,34%"
"07.10.2019","117,72","117,39","117,91","117,02","0,26%"
"04.10.2019","117,41","117,25","117,53","117,08","0,14%"
"03.10.2019","117,25","117,47","117,67","117,08","-0,18%"
"02.10.2019","117,46","117,76","118,02","117,31","-0,29%"
"01.10.2019","117,80","117,80","118,20","117,67","-0,01%"
"30.09.2019","117,81","118,06","118,23","117,53","-0,22%"
"27.09.2019","118,07","117,76","118,50","117,44","0,25%"
"26.09.2019","117,78","117,92","118,08","117,50","-0,14%"
"25.09.2019","117,94","117,99","118,23","117,79","-0,03%"
"24.09.2019","117,98","118,23","118,58","117,89","-0,20%"
"23.09.2019","118,22","118,50","118,81","117,75","-0,25%"
"20.09.2019","118,52","119,25","119,39","118,44","-0,62%"
"19.09.2019","119,26","119,63","119,67","118,94","-0,30%"
"18.09.2019","119,62","119,72","119,83","119,39","-0,09%"
"17.09.2019","119,73","118,94","119,81","118,86","0,64%"
"16.09.2019","118,97","119,26","119,54","118,69","-0,61%"
"13.09.2019","119,70","119,61","120,02","119,53","0,09%"
"12.09.2019","119,59","118,72","119,83","117,53","0,73%"
"11.09.2019","118,72","118,78","119,17","118,28","-0,04%"
"10.09.2019","118,77","118,46","118,80","118,26","0,24%"
"09.09.2019","118,48","117,88","118,53","117,70","0,47%"
"06.09.2019","117,92","118,02","118,30","117,81","-0,08%"
"05.09.2019","118,02","117,39","118,64","117,25","0,51%"
"04.09.2019","117,42","116,26","117,46","116,14","1,00%"
"03.09.2019","116,26","116,51","116,60","115,86","-0,21%"
"02.09.2019","116,50","116,81","116,84","116,33","-0,29%"
"30.08.2019","116,84","117,76","117,85","116,63","-0,80%"
"29.08.2019","117,78","117,56","117,94","117,28","0,19%"
"28.08.2019","117,56","117,25","117,69","117,08","0,25%"
"27.08.2019","117,27","117,83","117,86","117,19","-0,48%"
"26.08.2019","117,83","117,50","118,21","116,54","0,31%"
"23.08.2019","117,47","117,91","118,16","117,25","-0,38%"
"22.08.2019","117,92","118,19","118,33","117,72","-0,23%"
"21.08.2019","118,19","117,92","118,34","117,89","0,23%"
"20.08.2019","117,92","118,13","118,28","117,57","-0,18%"
"19.08.2019","118,13","117,99","118,49","117,86","0,14%"
"16.08.2019","117,97","117,88","118,19","117,57","0,08%"
"15.08.2019","117,87","117,96","118,98","117,62","-0,08%"
"14.08.2019","117,97","119,23","119,28","117,78","-1,07%"
"13.08.2019","119,24","118,08","119,61","117,68","0,98%"
"12.08.2019","118,08","118,40","118,44","117,52","-0,24%"
"09.08.2019","118,36","118,59","118,73","118,08","-0,19%"
"08.08.2019","118,59","119,02","119,23","118,49","-0,36%"
"07.08.2019","119,02","119,23","119,32","118,42","-0,21%"
"06.08.2019","119,27","118,69","119,89","118,36","0,49%"
"05.08.2019","118,69","118,39","118,94","117,67","0,23%"
"02.08.2019","118,42","118,98","119,16","118,25","-0,48%"
"01.08.2019","118,99","120,46","120,74","118,92","-1,22%"
"31.07.2019","120,46","121,15","121,22","120,34","-0,57%"
"30.07.2019","121,15","121,23","121,41","120,87","-0,07%"
"29.07.2019","121,23","120,94","121,33","120,72","0,26%"
"26.07.2019","120,92","121,11","121,22","120,78","-0,14%"
"25.07.2019","121,09","120,52","121,39","120,03","0,47%"
"24.07.2019","120,52","120,69","120,73","120,19","-0,17%"
"23.07.2019","120,72","120,92","121,11","120,48","-0,17%"
"22.07.2019","120,93","120,81","121,20","120,79","0,04%"
"19.07.2019","120,88","121,00","121,31","120,80","-0,10%"
"18.07.2019","121,00","121,17","121,25","120,78","-0,13%"
"17.07.2019","121,16","121,31","121,50","121,14","-0,15%"
"16.07.2019","121,34","121,50","121,72","121,09","-0,12%"
"15.07.2019","121,49","121,58","121,86","121,41","-0,11%"
"12.07.2019","121,62","122,11","122,26","121,49","-0,39%"
"11.07.2019","122,10","122,04","122,16","121,61","0,06%"
"10.07.2019","122,03","122,00","122,33","121,95","0,02%"
"09.07.2019","122,00","121,94","122,14","121,83","0,07%"
"08.07.2019","121,92","121,72","121,98","121,52","0,14%"
"05.07.2019","121,75","121,66","122,06","121,61","0,07%"
"04.07.2019","121,67","121,61","121,75","121,53","0,05%"
"03.07.2019","121,61","121,74","121,85","121,30","-0,12%"
"02.07.2019","121,76","122,39","122,55","121,73","-0,51%"
"01.07.2019","122,39","122,70","123,36","122,34","-0,24%"
"28.06.2019","122,68","122,55","122,80","122,28","0,10%"
"27.06.2019","122,56","122,52","122,90","122,39","0,01%"
"26.06.2019","122,55","121,83","122,66","121,77","0,59%"
"25.06.2019","121,83","122,31","122,50","121,64","-0,39%"
"24.06.2019","122,31","122,00","122,42","121,97","0,25%"
"21.06.2019","122,00","121,17","122,14","120,94","0,68%"
"20.06.2019","121,18","121,36","121,95","121,09","-0,15%"
"19.06.2019","121,36","121,38","121,71","121,16","-0,02%"
"18.06.2019","121,39","121,80","121,89","121,06","-0,32%"
"17.06.2019","121,78","121,75","122,17","121,47","0,07%"
"14.06.2019","121,69","122,28","122,35","121,59","-0,43%"
"13.06.2019","122,22","122,50","122,58","122,14","-0,23%"
"12.06.2019","122,50","122,92","123,08","122,42","-0,38%"
"11.06.2019","122,97","122,68","123,19","122,63","0,22%"
"10.06.2019","122,70","122,53","123,04","122,44","0,07%"
"07.06.2019","122,62","122,25","122,75","122,10","0,30%"
"06.06.2019","122,25","121,80","122,42","121,29","0,44%"
"05.06.2019","121,71","121,69","122,29","121,55","0,02%"
"04.06.2019","121,69","121,47","121,78","121,28","0,17%"
"03.06.2019","121,48","121,19","121,67","120,77","0,32%"
"31.05.2019","121,09","122,05","122,13","120,92","-0,75%"
"30.05.2019","122,00","121,98","122,30","121,89","0,01%"
"29.05.2019","121,99","122,08","122,23","121,57","-0,07%"
"28.05.2019","122,07","122,63","122,72","122,00","-0,46%"
"27.05.2019","122,64","122,41","122,85","122,33","0,14%"
"24.05.2019","122,47","122,56","122,86","122,42","-0,07%"
"23.05.2019","122,55","123,05","123,13","122,13","-0,43%"
"22.05.2019","123,08","123,39","123,53","122,95","-0,20%"
"21.05.2019","123,33","122,97","123,78","122,67","0,32%"
"20.05.2019","122,94","122,59","123,22","122,53","0,08%"
"17.05.2019","122,84","122,75","122,98","122,25","0,07%"
"16.05.2019","122,75","122,77","123,00","122,54","-0,02%"
"15.05.2019","122,77","122,89","123,11","122,08","-0,10%"
"14.05.2019","122,89","122,72","123,42","122,58","0,16%"
"13.05.2019","122,69","123,39","123,50","122,52","-0,68%"
"10.05.2019","123,53","123,09","123,64","123,03","0,32%"
"09.05.2019","123,14","123,25","123,34","122,48","-0,06%"
"08.05.2019","123,22","123,36","123,52","123,08","-0,14%"
"07.05.2019","123,39","124,05","124,27","123,09","-0,54%"
"06.05.2019","124,06","123,87","124,35","123,37","-0,32%"
"03.05.2019","124,46","124,65","124,73","124,26","-0,16%"
"02.05.2019","124,66","124,78","125,14","124,53","-0,04%"
"01.05.2019","124,71","125,01","125,21","124,66","-0,21%"
"30.04.2019","124,97","124,88","125,06","124,39","0,06%"
"29.04.2019","124,89","124,44","125,08","124,32","0,38%"
"26.04.2019","124,42","124,26","124,65","123,98","0,12%"
"25.04.2019","124,27","125,20","125,23","124,12","-0,69%"
"24.04.2019","125,13","125,60","125,68","124,80","-0,38%"
"23.04.2019","125,61","126,05","126,11","125,28","-0,33%"
"22.04.2019","126,03","125,88","126,12","125,75","0,11%"
"19.04.2019","125,89","125,86","125,97","125,70","0,10%"
"18.04.2019","125,76","126,60","126,71","125,67","-0,66%"
"17.04.2019","126,59","126,36","126,89","126,31","0,19%"
"16.04.2019","126,35","126,66","126,77","126,19","-0,28%"
"15.04.2019","126,70","126,58","126,81","126,47","0,07%"
"12.04.2019","126,61","125,64","126,81","125,62","0,76%"
"11.04.2019","125,66","125,16","125,78","125,05","0,40%"
"10.04.2019","125,16","125,16","125,45","124,77","-0,01%"
"09.04.2019","125,17","125,64","125,69","125,11","-0,29%"
"08.04.2019","125,54","125,33","125,69","124,99","0,18%"
"05.04.2019","125,32","125,31","125,55","125,20","0,02%"
"04.04.2019","125,30","125,23","125,41","124,95","0,04%"
"03.04.2019","125,25","124,71","125,47","124,60","0,41%"
"02.04.2019","124,74","124,91","124,95","124,47","-0,10%"
"01.04.2019","124,86","124,34","124,97","124,25","0,40%"
"29.03.2019","124,36","124,15","124,67","124,12","0,10%"
"28.03.2019","124,23","124,27","124,47","123,66","-0,02%"
"27.03.2019","124,26","124,65","124,76","124,03","-0,30%"
"26.03.2019","124,64","124,40","125,06","124,35","0,19%"
"25.03.2019","124,40","124,40","124,85","123,89","0,02%"
"22.03.2019","124,37","126,04","126,21","123,82","-1,32%"
"21.03.2019","126,04","126,34","126,63","125,68","-0,24%"
"20.03.2019","126,34","126,44","126,92","126,31","-0,08%"
