"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.10.2019","1,1152","1,1151","1,1176","1,1131","0,02%"
"30.10.2019","1,1150","1,1112","1,1153","1,1080","0,34%"
"29.10.2019","1,1112","1,1099","1,1120","1,1074","0,11%"
"28.10.2019","1,1100","1,1082","1,1109","1,1076","0,18%"
"25.10.2019","1,1080","1,1105","1,1124","1,1073","-0,22%"
"24.10.2019","1,1104","1,1130","1,1162","1,1092","-0,24%"
"23.10.2019","1,1131","1,1124","1,1140","1,1105","0,05%"
"22.10.2019","1,1125","1,1149","1,1158","1,1117","-0,22%"
"21.10.2019","1,1149","1,1142","1,1180","1,1136","-0,20%"
"18.10.2019","1,1171","1,1126","1,1174","1,1115","0,42%"
"17.10.2019","1,1124","1,1073","1,1141","1,1065","0,47%"
"16.10.2019","1,1072","1,1033","1,1087","1,1022","0,35%"
"15.10.2019","1,1033","1,1029","1,1047","1,0991","0,04%"
"14.10.2019","1,1029","1,1043","1,1049","1,1012","-0,12%"
"11.10.2019","1,1042","1,1006","1,1064","1,1001","0,33%"
"10.10.2019","1,1006","1,0972","1,1036","1,0971","0,32%"
"09.10.2019","1,0971","1,0957","1,0991","1,0952","0,14%"
"08.10.2019","1,0956","1,0971","1,0997","1,0941","-0,14%"
"07.10.2019","1,0971","1,0975","1,1001","1,0961","-0,06%"
"04.10.2019","1,0978","1,0964","1,0999","1,0957","0,11%"
"03.10.2019","1,0966","1,0959","1,1001","1,0941","0,06%"
"02.10.2019","1,0959","1,0932","1,0964","1,0903","0,25%"
"01.10.2019","1,0932","1,0901","1,0944","1,0879","0,29%"
"30.09.2019","1,0900","1,0940","1,0949","1,0885","-0,36%"
"27.09.2019","1,0939","1,0920","1,0959","1,0904","0,16%"
"26.09.2019","1,0922","1,0942","1,0968","1,0908","-0,19%"
"25.09.2019","1,0943","1,1020","1,1025","1,0938","-0,70%"
"24.09.2019","1,1020","1,0994","1,1026","1,0984","0,25%"
"23.09.2019","1,0993","1,1016","1,1027","1,0966","-0,23%"
"20.09.2019","1,1018","1,1041","1,1069","1,0995","-0,21%"
"19.09.2019","1,1041","1,1029","1,1074","1,1022","0,10%"
"18.09.2019","1,1030","1,1072","1,1076","1,1013","-0,39%"
"17.09.2019","1,1073","1,1000","1,1076","1,0990","0,65%"
"16.09.2019","1,1002","1,1087","1,1093","1,0994","-0,66%"
"13.09.2019","1,1075","1,1064","1,1111","1,1055","0,11%"
"12.09.2019","1,1063","1,1011","1,1088","1,0927","0,48%"
"11.09.2019","1,1010","1,1043","1,1056","1,0984","-0,30%"
"10.09.2019","1,1043","1,1045","1,1059","1,1030","-0,05%"
"09.09.2019","1,1048","1,1024","1,1069","1,1016","0,17%"
"06.09.2019","1,1029","1,1035","1,1058","1,1020","-0,05%"
"05.09.2019","1,1035","1,1037","1,1086","1,1017","0,00%"
"04.09.2019","1,1035","1,0974","1,1038","1,0969","0,56%"
"03.09.2019","1,0974","1,0970","1,0980","1,0926","0,05%"
"02.09.2019","1,0968","1,0990","1,1000","1,0958","-0,21%"
"30.08.2019","1,0991","1,1058","1,1062","1,0963","-0,60%"
"29.08.2019","1,1057","1,1078","1,1093","1,1042","-0,19%"
"28.08.2019","1,1078","1,1090","1,1099","1,1072","-0,12%"
"27.08.2019","1,1091","1,1101","1,1116","1,1084","-0,10%"
"26.08.2019","1,1102","1,1147","1,1166","1,1094","-0,38%"
"23.08.2019","1,1144","1,1079","1,1154","1,1051","0,59%"
"22.08.2019","1,1079","1,1084","1,1114","1,1063","-0,05%"
"21.08.2019","1,1085","1,1100","1,1109","1,1081","-0,14%"
"20.08.2019","1,1100","1,1079","1,1107","1,1065","0,20%"
"19.08.2019","1,1078","1,1092","1,1115","1,1076","-0,11%"
"16.08.2019","1,1090","1,1106","1,1113","1,1066","-0,15%"
"15.08.2019","1,1107","1,1138","1,1159","1,1090","-0,29%"
"14.08.2019","1,1139","1,1170","1,1191","1,1130","-0,29%"
"13.08.2019","1,1171","1,1214","1,1229","1,1171","-0,38%"
"12.08.2019","1,1214","1,1204","1,1232","1,1162","0,12%"
"09.08.2019","1,1200","1,1181","1,1224","1,1180","0,18%"
"08.08.2019","1,1180","1,1199","1,1233","1,1177","-0,17%"
"07.08.2019","1,1199","1,1199","1,1243","1,1180","-0,01%"
"06.08.2019","1,1200","1,1203","1,1251","1,1168","-0,02%"
"05.08.2019","1,1202","1,1101","1,1213","1,1101","0,84%"
"02.08.2019","1,1109","1,1087","1,1118","1,1070","0,22%"
"01.08.2019","1,1085","1,1076","1,1097","1,1027","0,08%"
"31.07.2019","1,1076","1,1155","1,1163","1,1059","-0,71%"
"30.07.2019","1,1155","1,1144","1,1162","1,1132","0,10%"
"29.07.2019","1,1144","1,1126","1,1151","1,1112","0,15%"
"26.07.2019","1,1127","1,1147","1,1152","1,1112","-0,18%"
"25.07.2019","1,1147","1,1142","1,1189","1,1102","0,05%"
"24.07.2019","1,1141","1,1152","1,1160","1,1127","-0,11%"
"23.07.2019","1,1153","1,1210","1,1211","1,1146","-0,51%"
"22.07.2019","1,1210","1,1218","1,1227","1,1206","-0,11%"
"19.07.2019","1,1222","1,1277","1,1283","1,1204","-0,49%"
"18.07.2019","1,1277","1,1224","1,1282","1,1205","0,47%"
"17.07.2019","1,1224","1,1210","1,1234","1,1199","0,12%"
"16.07.2019","1,1211","1,1258","1,1265","1,1202","-0,42%"
"15.07.2019","1,1258","1,1268","1,1285","1,1252","-0,12%"
"12.07.2019","1,1271","1,1254","1,1277","1,1238","0,15%"
"11.07.2019","1,1254","1,1251","1,1287","1,1245","0,03%"
"10.07.2019","1,1251","1,1208","1,1265","1,1202","0,38%"
"09.07.2019","1,1208","1,1215","1,1221","1,1194","-0,06%"
"08.07.2019","1,1215","1,1221","1,1235","1,1205","-0,10%"
"05.07.2019","1,1226","1,1285","1,1289","1,1207","-0,52%"
"04.07.2019","1,1285","1,1277","1,1296","1,1272","0,06%"
"03.07.2019","1,1278","1,1284","1,1311","1,1268","-0,06%"
"02.07.2019","1,1285","1,1286","1,1321","1,1275","0,00%"
"01.07.2019","1,1285","1,1375","1,1375","1,1280","-0,75%"
"28.06.2019","1,1370","1,1371","1,1395","1,1351","0,00%"
"27.06.2019","1,1370","1,1369","1,1383","1,1348","0,01%"
"26.06.2019","1,1369","1,1365","1,1392","1,1347","0,02%"
"25.06.2019","1,1367","1,1400","1,1414","1,1344","-0,27%"
"24.06.2019","1,1398","1,1361","1,1405","1,1361","0,26%"
"21.06.2019","1,1368","1,1292","1,1379","1,1283","0,67%"
"20.06.2019","1,1292","1,1225","1,1318","1,1225","0,59%"
"19.06.2019","1,1226","1,1193","1,1254","1,1187","0,29%"
"18.06.2019","1,1193","1,1219","1,1244","1,1181","-0,22%"
"17.06.2019","1,1218","1,1215","1,1247","1,1203","0,08%"
"14.06.2019","1,1209","1,1282","1,1291","1,1202","-0,60%"
"13.06.2019","1,1277","1,1287","1,1305","1,1268","-0,11%"
"12.06.2019","1,1289","1,1326","1,1345","1,1282","-0,38%"
"11.06.2019","1,1332","1,1313","1,1340","1,1302","0,15%"
"10.06.2019","1,1315","1,1324","1,1333","1,1291","-0,16%"
"07.06.2019","1,1333","1,1276","1,1349","1,1251","0,51%"
"06.06.2019","1,1276","1,1229","1,1310","1,1214","0,49%"
"05.06.2019","1,1221","1,1251","1,1308","1,1219","-0,28%"
"04.06.2019","1,1252","1,1241","1,1278","1,1226","0,10%"
"03.06.2019","1,1241","1,1168","1,1263","1,1155","0,64%"
"31.05.2019","1,1169","1,1134","1,1181","1,1125","0,34%"
"30.05.2019","1,1131","1,1130","1,1144","1,1115","0,00%"
"29.05.2019","1,1131","1,1162","1,1175","1,1124","-0,26%"
"28.05.2019","1,1160","1,1198","1,1202","1,1158","-0,35%"
"27.05.2019","1,1199","1,1197","1,1218","1,1186","-0,04%"
"24.05.2019","1,1204","1,1183","1,1215","1,1175","0,21%"
"23.05.2019","1,1180","1,1150","1,1187","1,1106","0,24%"
"22.05.2019","1,1153","1,1166","1,1180","1,1145","-0,06%"
"21.05.2019","1,1160","1,1171","1,1189","1,1142","-0,10%"
"20.05.2019","1,1171","1,1158","1,1177","1,1148","0,12%"
"17.05.2019","1,1158","1,1176","1,1186","1,1155","-0,14%"
"16.05.2019","1,1174","1,1202","1,1227","1,1166","-0,25%"
"15.05.2019","1,1202","1,1205","1,1226","1,1177","-0,02%"
"14.05.2019","1,1204","1,1224","1,1247","1,1200","-0,18%"
"13.05.2019","1,1224","1,1241","1,1266","1,1221","-0,10%"
"10.05.2019","1,1235","1,1215","1,1255","1,1214","0,12%"
"09.05.2019","1,1222","1,1194","1,1254","1,1174","0,27%"
"08.05.2019","1,1192","1,1189","1,1215","1,1181","0,01%"
"07.05.2019","1,1191","1,1198","1,1222","1,1165","-0,08%"
"06.05.2019","1,1200","1,1173","1,1212","1,1160","-0,02%"
"03.05.2019","1,1202","1,1178","1,1208","1,1135","0,21%"
"02.05.2019","1,1179","1,1202","1,1221","1,1172","-0,15%"
"01.05.2019","1,1196","1,1215","1,1267","1,1188","-0,19%"
"30.04.2019","1,1217","1,1185","1,1232","1,1176","0,28%"
"29.04.2019","1,1186","1,1153","1,1191","1,1140","0,33%"
"26.04.2019","1,1149","1,1130","1,1175","1,1111","0,15%"
"25.04.2019","1,1132","1,1160","1,1164","1,1118","-0,20%"
"24.04.2019","1,1154","1,1229","1,1233","1,1141","-0,65%"
"23.04.2019","1,1227","1,1259","1,1264","1,1192","-0,28%"
"22.04.2019","1,1258","1,1246","1,1265","1,1237","0,09%"
"19.04.2019","1,1248","1,1240","1,1255","1,1229","0,15%"
"18.04.2019","1,1231","1,1297","1,1307","1,1226","-0,58%"
"17.04.2019","1,1297","1,1282","1,1326","1,1280","0,14%"
"16.04.2019","1,1281","1,1304","1,1315","1,1279","-0,25%"
"15.04.2019","1,1309","1,1300","1,1323","1,1296","0,06%"
"12.04.2019","1,1302","1,1255","1,1327","1,1253","0,44%"
"11.04.2019","1,1253","1,1274","1,1293","1,1249","-0,19%"
"10.04.2019","1,1274","1,1261","1,1286","1,1228","0,10%"
"09.04.2019","1,1263","1,1272","1,1287","1,1255","0,02%"
"08.04.2019","1,1261","1,1218","1,1277","1,1213","0,40%"
"05.04.2019","1,1216","1,1223","1,1246","1,1210","-0,04%"
"04.04.2019","1,1221","1,1233","1,1249","1,1205","-0,12%"
"03.04.2019","1,1235","1,1204","1,1256","1,1200","0,28%"
"02.04.2019","1,1204","1,1217","1,1220","1,1183","-0,08%"
"01.04.2019","1,1213","1,1217","1,1250","1,1202","-0,04%"
"29.03.2019","1,1218","1,1220","1,1248","1,1208","-0,04%"
"28.03.2019","1,1222","1,1244","1,1264","1,1214","-0,22%"
"27.03.2019","1,1247","1,1266","1,1286","1,1240","-0,17%"
